10-02-96    3T2-T= 798K (525C) LaMnO3
     100       0   0.050      20       0       0
   0.000
  47000.      0.    0.00    0.00
18    5817    5517    5917    7117    7617    8417    9117    8417    7017    69
17    6017    5617    5217    5417    5617    5617    5417    5917    5917    61
17    5817    5717    5817    5617    5317    5517    5417    5517    5517    59
17    5517    5517    5517    5417    5617    5417    5717    5617    5517    56
17    5417    5417    5417    5417    5617    5617    6117    6717    7217    74
17    6817    6717    6117    6017    5917    5817    5517    5617    5617    56
17    6216    6316    7016    7316    7116    6716    6316    5716    5716    59
16    5716    5716    5516    5716    6016    5816    6116    5916    5816    60
16    5916    5916    5916    5816    5716    5716    5716    5916    5816    60
16    6116    6416    6316    6516    6516    6216    5916    5716    5816    63
16    6816    7716   10916   15016   20816   26116   27316   23516   17216   122
16    8616    6816    6116    6216    6416    6416    6416    6816    7816    86
16    8416    7915    7215    6415    6015    6015    5915    5815    6115    58
15    5615    5615    6015    5815    6015    5515    5915    5815    5815    56
15    5615    5815    6015    5615    5715    6015    5815    5715    6015    60
15    5615    5715    5915    5515    5915    5915    6215    6315    7415    91
15   11315   13115   12915   12615   10915    8915    7415    6415    6015    58
15    6115    5815    6215    5915    5715    6115    6015    6115    5915    60
15    6115    5814    6114    6114    5814    6214    6314    7214    7814    80
14    7914    7614    7014    6414    6214    6114    6614    6114    6514    71
14    8714   11314   13914   16214   17314   15814   13114   10514    8514    69
14    6414    7014    7614    8514   11714   15314   19414   21414   21014   188
14   14814   11114    8614    7014    6414    6514    6314    6914    6914    74
14    7814    8114    8314    8114    7514    6814    6314    6214    6014    65
14    6414    6813    7913    8513    9213    9613    9213    8113    7013    61
13    5813    6113    6013    6013    6313    5913    6313    6113    5913    61
13    6113    6313    6213    6313    6413    6013    6313    6413    6313    66
13    6813    7313    7113    8013    7713    7213    6913    6513    6613    60
13    6013    6613    7113    7113    7813    8413    8513    8813    8513    74
13    7213    6713    6213    6413    6413    6113    6113    6613    6413    66
13    6413    6512    6512    6612    6212    6312    6312    6612    6312    64
12    7212    8012    9312   11312   12212   12112   11412   10212    8412    75
12    6912    6712    6812    7612    8212    9812   12312   14512   16112   160
12   14512   11912   10212    8112    6712    6712    6012    6112    6512    66
12    7112    7412    7212    7112    6912    6912    6712    6512    5912    61
12    6112    6012    6112    6112    6412    6612    6512    6612    6312    68
12    6212    6012    5811    6211    6111    6211    6211    5911    6111    59
11    6111    6211    6511    6111    5911    6211    5711    6311    6011    63
11    6311    6811    7311    7011    7311    7211    6711    6411    6711    65
11    6411    6711    6411    7011    7511    9111    9911   10811   11011   101
11    9811    8711    7511    6911    6911    6711    6911    7311    7611    84
11    9111    9511    9411    8411    8511    8011    6711    6211    6111    65
11    6511    6911    7810    8710    9410    9610    9710    9510    9210    80
10    7510    6810    6210    6410    6610    6210    6410    6010    6110    58
10    5810    6110    6110    6110    6310    6510    6410    6710    6810    74
10    7310    7710    8410    8710    7910    8110    7010    7110    7110    63
10    6410    6110    6110    6610    6610    6410    6910    6910    7010    66
10    6710    6610    6710    6210    6610    6410    6410    6810    7110    69
10    6710    6510    62 9    66 9    65 9    67 9    64 9    64 9    62 9    63
 9    67 9    59 9    67 9    67 9    69 9    72 9    68 9    66 9    71 9    62
 9    60 9    64 9    63 9    64 9    65 9    66 9    66 9    64 9    68 9    65
 9    64 9    72 9    67 9    64 9    66 9    65 9    63 9    61 9    61 9    66
 9    63 9    65 9    63 9    61 9    63 9    66 9    63 9    68 9    66 9    66
 9    63 9    68 9    69 9    73 9    79 9    87 9    96 9    97 9    96 9    97
 9    95 9    82 9    72 8    69 8    71 8    71 8    82 8    92 8   108 8   126
 8   138 8   151 8   153 8   148 8   131 8   118 8   105 8    88 8    81 8    72
 8    76 8    80 8    81 8    88 8    92 8    96 8    99 8   103 8    91 8    88
 8    81 8    67 8    69 8    66 8    64 8    70 8    71 8    68 8    63 8    67
 8    62 8    63 8    67 8    62 8    64 8    61 8    65 8    59 8    68 8    68
 8    62 8    64 8    66 8    63 8    62 8    61 8    65 8    65 8    63 8    65
 8    69 8    69 8    69 7    72 7    80 7    80 7    82 7    90 7    90 7    96
 7    95 7    97 7    83 7    75 7    73 7    67 7    74 7    77 7    73 7    81
 7    87 7    93 7    93 7    89 7    97 7    90 7    80 7    76 7    73 7    67
 7    62 7    70 7    64 7    61 7    73 7    71 7    72 7    72 7    73 7    71
 7    73 7    66 7    67 7    69 7    66 7    66 7    70 7    69 7    70 7    72
 7    66 7    64 7    68 7    72 7    64 7    70 7    67 7    63 7    68 7    71
 7    77 7    85 7    87 6    97 6   112 6   120 6   123 6   122 6   113 6   110
 6    99 6    88 6    77 6    72 6    70 6    71 6    83 6    74 6    76 6    77
 6    79 6    82 6    80 6    78 6    74 6    67 6    65 6    66 6    67 6    61
 6    62 6    67 6    67 6    62 6    64 6    65 6    59 6    63 6    66 6    65
 6    68 6    67 6    64 6    67 6    65 6    55 6    64 6    68 6    62 6    67
 6    64 6    62 6    64 6    66 6    62 6    62 6    64 6    67 6    66 6    68
 6    66 6    66 6    66 6    58 5    65 5    63 5    61 5    67 5    68 5    68
 5    66 5    67 5    66 5    74 5    72 5    74 5    84 5    84 5    85 5    87
 5    86 5    82 5    89 5    85 5    76 5    77 5    78 5    82 5    78 5    81
 5    84 5    79 5    77 5    72 5    73 5    70 5    70 5    75 5    71 5    67
 5    68 5    69 5    71 5    67 5    67 5    73 5    75 5    70 5    72 5    74
 5    68 5    78 5    82 5    75 5    76 5    74 5    79 5    91 5   105 5   118
 5   147 5   171 5   187 4   209 4   220 4   222 4   245 4   216 4   198 4   176
 4   140 4   122 4   101 4    88 4    78 4    71 4    74 4    74 4    69 4    73
 4    77 4    81 4    76 4    72 4    72 4    76 4    77 4    66 4    63 4    70
 4    74 4    65 4    66 4    72 4    62 4    69 4    72 4    62 4    67 4    62
 4    64 4    66 4    65 4    67 4    65 4    59 4    70 4    59 4    70 4    68
 4    58 4    66 4    68 4    70 4    67 4    67 4    60 4    68 4    72 4    72
 4    73 4    68 4    73 3    76 3    75 3    74 3    78 3    70 3    74 3    76
 3    68 3    65 3    66 3    73 3    70 3    66 3    69 3    64 3    68 3    71
 3    74 3    73 3    78 3    77 3    72 3    74 3    75 3    79 3    64 3    66
 3    65 3    62 3    69 3    62 3    61 3    67 3    75 3    68 3    70 3    67
 3    64 3    71 3    64 3    61 3    64 3    67 3    68 3    67 3    62 3    63
 3    72 3    72 3    75 3    69 3    62 3    69 3    74 3    69 3    65 3    62
 3    65 3    67 3    68 3    74 2    67 2    63 2    66 2    70 2    62 2    58
 2    69 2    68 2    62 2    71 2    70 2    65 2    73 2    74 2    69 2    71
 2    83 2    67 2    78 2    95 2    78 2    80 2    80 2    79 2    79 2    88
 2    75 2    74 2    80 2    69 2    72 2    88 2    71 2    62 2    69 2    70
 2    63 2    73 2    72 2    66 2    78 2    67 2    66 2    66 2    65 2    65
 2    62 2    66 2    63 2    62 2    67 2    63 2    56 2    60 2    69 2    63
 2    64 2    69 2    73 2    65 1    72 1    72 1    62 1    64 1    69 1    75
 1    71 1    73 1    61 1    74 1    77 1    64 1    67 1    72 1    66 1    64
 1    81 1    58 1    66 1    69 1    58 1    63 1    64 1    77 1    70 1    64
 1    78 1    59 1    74 1    75 1    68 1    60 1    61 1    72 1    70 1    68
 1    55 1    81 1    73 1    84 1    70 1    69 1    65 1    69 1    59 1    64
 1    67 1    63 1    82 1    75 1    62 1    69 1    64 1    64 1    70 1    69
 1    88 1    78 1    84 1    81
   -1000
  -10000
